time,open,high,low,close,tick_volume,spread,real_volume
2018-12-17 00:00:00+00:00,1239.1,1248.12,1235.81,1245.87,171342,0,0
2018-12-18 00:00:00+00:00,1245.74,1250.39,1245.08,1249.43,189636,0,0
2018-12-19 00:00:00+00:00,1249.63,1258.04,1241.74,1242.96,245690,0,0
2018-12-20 00:00:00+00:00,1242.42,1266.49,1242.42,1259.68,306718,0,0
2018-12-21 00:00:00+00:00,1259.73,1262.77,1253.94,1255.43,247571,0,0
2018-12-24 00:00:00+00:00,1257.48,1269.57,1256.76,1268.82,170488,0,0
2018-12-26 00:00:00+00:00,1269.26,1279.11,1264.3,1266.92,214551,0,0
2018-12-27 00:00:00+00:00,1265.99,1278.95,1265.65,1275.6,280834,0,0
2018-12-28 00:00:00+00:00,1274.75,1282.14,1274.29,1280.62,227092,0,0
2018-12-31 00:00:00+00:00,1280.31,1284.08,1277.45,1282.43,155957,0,0
2019-01-02 00:00:00+00:00,1281.98,1288.74,1278.72,1284.48,247200,0,0
2019-01-03 00:00:00+00:00,1286.25,1294.93,1284.6,1294.16,300040,0,0
2019-01-04 00:00:00+00:00,1293.79,1298.54,1276.63,1284.69,291960,0,0
2019-01-07 00:00:00+00:00,1285.38,1295.08,1282.69,1289.21,220164,0,0
2019-01-08 00:00:00+00:00,1288.34,1290.22,1279.41,1285.28,219947,0,0
2019-01-09 00:00:00+00:00,1284.2,1293.87,1280.11,1293.23,232678,0,0
2019-01-10 00:00:00+00:00,1293.89,1297.07,1286.17,1286.48,237269,0,0
2019-01-11 00:00:00+00:00,1286.7,1295.16,1286.49,1287.62,215762,0,0
2019-01-14 00:00:00+00:00,1287.35,1295.88,1287.29,1291.53,199955,0,0
2019-01-15 00:00:00+00:00,1291.15,1294.71,1286.74,1289.34,237822,0,0
2019-01-16 00:00:00+00:00,1288.67,1294.98,1287.89,1293.48,193093,0,0
2019-01-17 00:00:00+00:00,1293.19,1295.34,1288.76,1291.94,206729,0,0
2019-01-18 00:00:00+00:00,1291.38,1292.5,1280.66,1281.36,195991,0,0
2019-01-21 00:00:00+00:00,1281.53,1283.57,1276.79,1280.2,96974,0,0
2019-01-22 00:00:00+00:00,1278.94,1285.5,1277.44,1285.02,170539,0,0
2019-01-23 00:00:00+00:00,1284.17,1286.53,1278.68,1282.67,174311,0,0
2019-01-24 00:00:00+00:00,1282.05,1284.83,1276.76,1281.07,197980,0,0
2019-01-25 00:00:00+00:00,1280.61,1304.18,1279.94,1302.91,204796,0,0
2019-01-28 00:00:00+00:00,1301.3,1304.44,1297.69,1303.17,172561,0,0
2019-01-29 00:00:00+00:00,1303.1,1311.98,1302.73,1311.46,172403,0,0
2019-01-30 00:00:00+00:00,1311.74,1323.37,1309.06,1319.65,206882,0,0
2019-01-31 00:00:00+00:00,1319.65,1326.28,1317.5,1321.34,212005,0,0
